District,Year,Enrollment Type,County,District Classification,Enrollment Breakdown,Metric,Region,Col Label,Color Desc,Row Label,Status %
Coronado Unified,2018,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,94.40%
Ramona City Unified,2018,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,93.80%
San Marcos Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,92.30%
Vista Unified,2018,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,90.20%
Coronado Unified,2018,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,93.20%
Ramona City Unified,2018,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,90.90%
Borrego Springs Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,91.20%
Oceanside Unified,2018,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,93.10%
Vista Unified,2018,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,92.30%
Coronado Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,90.90%
Poway Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,90.70%
San Diego Unified,2018,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,94.20%
San Diego Unified,2018,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,93.50%
San Diego Unified,2018,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,94.80%
Carlsbad Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,91.70%
Ramona City Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,92.50%
Mountain Empire Unified,2018,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,93.00%
San Diego Unified,2018,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,93.10%
Poway Unified,2018,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,94.30%
San Diego Unified,2018,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,92.30%
Poway Unified,2018,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,93.80%
Mountain Empire Unified,2018,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,91.40%
Poway Unified,2018,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.20%
Carlsbad Unified,2018,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Marcos Unified,2018,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,Very High,97.40%
Poway Unified,2018,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,98.00%
San Marcos Unified,2018,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.20%
Poway Unified,2018,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.30%
Carlsbad Unified,2018,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,98.30%
Carlsbad Unified,2018,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.70%
San Marcos Unified,2018,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.40%
Poway Unified,2018,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.70%
Vista Unified,2018,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
Carlsbad Unified,2018,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,95.80%
Vista Unified,2018,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,98.50%
San Marcos Unified,2018,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,100.00%
Vista Unified,2018,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,98.00%
Oceanside Unified,2018,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,97.70%
Valley Center-Pauma Unified,2018,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,97.20%
Vista Unified,2018,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Blue,Very High,97.50%
Warner Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,No Color,No Color,No Color,26.10%
Warner Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,41.70%
Vista Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined,Red,Very Low,60.60%
San Diego Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined,Red,Very Low,59.00%
Warner Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,26.20%
Warner Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,11.10%
Warner Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,35.70%
Bonsall Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Orange,Low,78.40%
Coronado Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,75.00%
Valley Center-Pauma Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,75.90%
Mountain Empire Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,72.70%
Carlsbad Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased,Yellow,Low,78.90%
Ramona City Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased,Yellow,Low,72.20%
Bonsall Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,78.60%
Oceanside Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Yellow,Low,74.10%
Bonsall Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Low,70.50%
Bonsall Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,72.40%
Vista Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Orange,Medium,87.20%
Valley Center-Pauma Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Orange,Medium,88.20%
Borrego Springs Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Orange,Medium,86.10%
San Diego Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,89.20%
Oceanside Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Green,Medium,87.80%
Poway Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,81.20%
San Marcos Unified,2019,SwD,San Diego,Unified School District,Disability Status,currstatus,San Diego/Imperial,Increased,Green,Medium,86.40%
Vista Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,83.50%
Poway Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,88.60%
Valley Center-Pauma Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,84.70%
Borrego Springs Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,85.30%
San Diego Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,86.40%
Ramona City Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,87.10%
Oceanside Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,Medium,85.70%
Vista Unified,2019,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,87.90%
San Diego Unified,2019,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,85.60%
Vista Unified,2019,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,83.90%
Vista Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,83.80%
Ramona City Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,88.70%
Borrego Springs Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,88.20%
Valley Center-Pauma Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,90.30%
San Diego Unified,2019,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,81.00%
Valley Center-Pauma Unified,2019,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,81.30%
Oceanside Unified,2019,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,90.30%
San Diego Unified,2019,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,80.00%
Ramona City Unified,2019,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,87.50%
San Diego Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,85.60%
Oceanside Unified,2019,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,88.00%
Oceanside Unified,2019,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,80.90%
Oceanside Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,86.50%
Valley Center-Pauma Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,88.60%
Oceanside Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,89.70%
Bonsall Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,84.60%
Mountain Empire Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Declined,Yellow,High,91.70%
Carlsbad Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Green,High,93.90%
San Marcos Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Green,High,94.60%
Poway Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Green,High,94.30%
Ramona City Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Maintained,Green,High,91.40%
Coronado Unified,2019,All Students,San Diego,Unified School District,All Students,currstatus,San Diego/Imperial,Increased,Green,High,94.70%
Mountain Empire Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Declined,Yellow,High,90.50%
Carlsbad Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Green,High,91.70%
San Marcos Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Green,High,93.00%
Vista Unified,2019,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,94.00%
San Diego Unified,2019,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,92.40%
Poway Unified,2019,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,93.40%
Carlsbad Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,94.00%
Vista Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,92.80%
Poway Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,94.70%
Coronado Unified,2019,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,93.30%
Carlsbad Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,91.90%
San Marcos Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,93.30%
Poway Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,90.50%
San Diego Unified,2019,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,93.80%
Poway Unified,2019,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,94.20%
San Diego Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,93.40%
Mountain Empire Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,92.30%
Oceanside Unified,2019,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,93.00%
Poway Unified,2019,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,91.00%
Coronado Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,94.30%
Mountain Empire Unified,2019,Hispanic,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,94.80%
Coronado Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,94.50%
Ramona City Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,93.20%
Coronado Unified,2019,Econ Disadv,San Diego,Unified School District,Economic Status,currstatus,San Diego/Imperial,Increased,Blue,Very High,97.00%
Poway Unified,2019,Amer Indian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
Carlsbad Unified,2019,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Marcos Unified,2019,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Marcos Unified,2019,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,Very High,97.70%
Poway Unified,2019,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,Very High,97.00%
Oceanside Unified,2019,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,Very High,96.70%
Carlsbad Unified,2019,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,Very High,96.80%
Vista Unified,2019,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Marcos Unified,2019,Black,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.80%
San Marcos Unified,2019,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,96.90%
San Diego Unified,2019,Filipino,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.00%
San Marcos Unified,2019,White,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.00%
Poway Unified,2019,Pacific Isle,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
Carlsbad Unified,2019,Asian,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,98.00%
Vista Unified,2019,Two or More,San Diego,Unified School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,96.60%
